# Postprocessed results of turbulent pipe flow 
# Velocity fluctuations 
# ------------------------------------------------------------------
# uTau = 0.0241079 
# nu = 1.20482e-05 
# ------------------------------------------------------------------
# r	 1-r	 y+	 urur	 utut	 uzuz	 urut	 uruz	 utuz	 
# ------------------------------------------------------------------
0.962253222805982	0.0377467771940180	75.5630406943145	1.21513914778559	2.29071959206728	4.85055597226333	7.78986700000000e-05	-0.931615507336316	-0.00361235755823905
0.961498033503598	0.0385019664964020	77.0748094923406	1.21799190459432	2.28300220044361	4.82929644187146	7.28928000000000e-05	-0.931424373458917	-0.00364600212238779
0.960735717625002	0.0392642823749980	78.6008445617769	1.22061596891586	2.27519996763360	4.80897740540186	8.61959500000000e-05	-0.931204458515361	-0.00368358921479072
0.959966287771743	0.0400337122282570	80.1411206763280	1.22302476391223	2.26732562838673	4.78954297708481	7.44431600000000e-05	-0.930957122798723	-0.00372560852067750
0.959189756650610	0.0408102433493900	81.6956123990246	1.22523109164489	2.25939017645452	4.77093970581567	7.52435100000000e-05	-0.930683535498305	-0.00377181498543574
0.958406137073383	0.0415938629266170	83.2642940827222	1.22724722896510	2.25140337478742	4.75311687726593	8.02309000000000e-05	-0.930384747393871	-0.00382117101027994
0.957615441956593	0.0423845580434070	84.8471398705810	1.22908497337488	2.24337481818279	4.73602711798962	8.07336700000000e-05	-0.930061781818513	-0.00387215235724500
0.956817684321269	0.0431823156787310	86.4441236965734	1.23075558266639	2.23531372572422	4.71962646713397	7.51215000000000e-05	-0.929715681955552	-0.00392330532459699
0.956012877292696	0.0439871227073040	88.0552192859677	1.23226977257980	2.22722810359102	4.70387400064984	7.80835400000000e-05	-0.929347566917418	-0.00397375193639539
0.955201034100165	0.0447989658998350	89.6804001558287	1.23363764407636	2.21912492387905	4.68873146021743	7.66490000000000e-05	-0.928958684263649	-0.00402306765333685
0.954382168076720	0.0456178319232800	91.3196396155240	1.23486864220525	2.21101072739363	4.67416234888617	8.19634500000000e-05	-0.928550182028874	-0.00407089867536612
0.953556292658908	0.0464437073410920	92.9729107672254	1.23597150730087	2.20289192286780	4.66013129290733	8.75556200000000e-05	-0.928122819925237	-0.00411686669830182
0.952723421386529	0.0472765786134710	94.6401865064075	1.23695426364000	2.19477514241266	4.64660431047444	8.10536100000000e-05	-0.927676989925626	-0.00416027196610918
0.951883567902379	0.0481164320976210	96.3214395223641	1.23782425322851	2.18666792106352	4.63354949611172	8.27277500000000e-05	-0.927212986447531	-0.00420010472803678
0.951036745951995	0.0489632540480049	98.0166422987178	1.23858813088217	2.17857872171710	4.62093684204648	8.52297400000000e-05	-0.926731182735145	-0.00423546036280455
0.950182969383401	0.0498170306165990	99.7257671139285	1.23925200514191	2.17051598203090	4.60873726016179	6.62157200000000e-05	-0.926232147284811	-0.00426587877991083
0.949322252146848	0.0506777478531520	101.448786041814	1.23982167526827	2.16248712932814	4.59692213407290	9.06287800000000e-05	-0.925716435327758	-0.00429161178239095
0.948454608294556	0.0515453917054440	103.185670952065	1.24030271469266	2.15449808173413	4.58546444955654	7.63917800000000e-05	-0.925184625100613	-0.00431354333877400
0.947580051980455	0.0524199480195450	104.936393510767	1.24070042490189	2.14655343641632	4.57433931439630	8.27621900000000e-05	-0.924637434898417	-0.00433266723625516
0.946698597459924	0.0533014025400760	106.700925180921	1.24101984072083	2.13865688809807	4.56352328259500	7.25644600000000e-05	-0.924075545954030	-0.00434926774096322
0.945810259089527	0.0541897409104730	108.479237222969	1.24126571914430	2.13081157233811	4.55299454795163	8.57974900000000e-05	-0.923499288284278	-0.00436273745551294
0.944915051326751	0.0550849486732490	110.271300695324	1.24144249608429	2.12302040456002	4.54273355486952	7.98834100000000e-05	-0.922908654353722	-0.00437210758748155
0.944012988729740	0.0559870112702600	112.077086454897	1.24155434147804	2.11528636491536	4.53272300163008	8.16050800000000e-05	-0.922303657134857	-0.00437698077742777
0.943104085957032	0.0568959140429680	113.896565157630	1.24160521094422	2.10761186140650	4.52294762102716	8.57780500000000e-05	-0.921684485139799	-0.00437785566655034
0.942188357767289	0.0578116422327110	115.729707259029	1.24159888772956	2.09999850850499	4.51339388186813	7.69484800000000e-05	-0.921051603369064	-0.00437539263417074
0.941265819019031	0.0587341809809691	117.576483014702	1.24153903899383	2.09244787417201	4.50404897526512	7.93156900000000e-05	-0.920405561891185	-0.00437019369749706
0.940336484670365	0.0596635153296350	119.436862480899	1.24142930615358	2.08496089778885	4.49489900280283	8.14180200000000e-05	-0.919746670087969	-0.00436291235994066
0.939400369778716	0.0605996302212840	121.310815515052	1.24127334849980	2.07753725226305	4.48592812162331	9.69152700000000e-05	-0.919074890166907	-0.00435421954123591
0.938457489500555	0.0615425104994450	123.198311776318	1.24107462854982	2.07017589374079	4.47712049644883	7.77008300000000e-05	-0.918390089784128	-0.00434502565513829
0.937507859091128	0.0624921409088720	125.099320726122	1.24083628446139	2.06287619796662	4.46846224860513	9.31331900000000e-05	-0.917692376598658	-0.00433669797184819
0.936551493904178	0.0634485060958220	127.013811628715	1.24056102876831	2.05563926148268	4.45994153570195	7.99305300000000e-05	-0.916982090899830	-0.00433087706290556
0.935588409391676	0.0644115906083240	128.941753551708	1.24025105566056	2.04846779748797	4.45154811503307	8.84219700000000e-05	-0.916259678741548	-0.00432915257035244
0.934618621103541	0.0653813788964590	130.883115366640	1.23990810758938	2.04136472254773	4.44327309664470	8.96101200000000e-05	-0.915525549666508	-0.00433253758168355
0.933642144687362	0.0663578553126381	132.837865749528	1.23953362468100	2.03433216373808	4.43510871847867	8.64496200000000e-05	-0.914779948538156	-0.00434112235146414
0.932658995888126	0.0673410041118741	134.805973181413	1.23912893297476	2.02737169968965	4.42704806645507	9.13572200000000e-05	-0.914022927858902	-0.00435435042774809
0.931669190547931	0.0683308094520690	136.787405948935	1.23869530233619	2.02048522337577	4.41908457292476	7.70895100000000e-05	-0.913254581921889	-0.00437159102854861
0.930672744605713	0.0693272553942870	138.782132144883	1.23823394699228	2.01367452785946	4.41121078416718	9.30212100000000e-05	-0.912475096844423	-0.00439257697104073
0.929669674096957	0.0703303259030430	140.790119668766	1.23774604598744	2.00694047621339	4.40341805010520	9.70609000000000e-05	-0.911684628472288	-0.00441696970019256
0.928659995153424	0.0713400048465760	142.811336227367	1.23723276293683	2.00028277581270	4.39569760197420	0.000100639300000000	-0.910883378063866	-0.00444407136338553
0.927643724002858	0.0723562759971420	144.845749335325	1.23669533323255	1.99369948969169	4.38804163668623	8.15005000000000e-05	-0.910071420365725	-0.00447286073116337
0.926620876968707	0.0733791230312930	146.893326315695	1.23613508007416	1.98718758707444	4.38044402622373	9.39292800000000e-05	-0.909248907455624	-0.00450271942454245
0.925591470469839	0.0744085295301610	148.954034300515	1.23555337848870	1.98074451629044	4.37289955031442	8.51339500000000e-05	-0.908416017936567	-0.00453410030340793
0.924555521020249	0.0754444789797510	151.027840231397	1.23495160104846	1.97436932415159	4.36540341108483	9.05620700000000e-05	-0.907572789778193	-0.00456791528530141
0.923513045228779	0.0764869547712210	153.114710860081	1.23433098818662	1.96806215547923	4.35795175356157	0.000114118600000000	-0.906719220424392	-0.00460485619342258
0.922464059798821	0.0775359402011790	155.214612749036	1.23369257164565	1.96182287672229	4.35054166486243	7.67309500000000e-05	-0.905855370172848	-0.00464484838287468
0.921408581528037	0.0785914184719631	157.327512272014	1.23303715260423	1.95565056829137	4.34317130655534	9.91738100000000e-05	-0.904981445289122	-0.00468687665786758
0.920346627308059	0.0796533726919410	159.453375614657	1.23236529017337	1.94954348843008	4.33583880161750	8.77846500000000e-05	-0.904097752531013	-0.00472910076736594
0.919278214124205	0.0807217858757950	161.592168775063	1.23167739481784	1.94349860215429	4.32854172751560	8.64823200000000e-05	-0.903204482202888	-0.00476873332911105
0.918203359055181	0.0817966409448190	163.743857564378	1.23097381156121	1.93751196262374	4.32127773525278	9.98360000000000e-05	-0.902301758434468	-0.00480270037795128
0.917122079272789	0.0828779207272110	165.908407607389	1.23025498027633	1.93157979773733	4.31404504476888	0.000107805800000000	-0.901389644939269	-0.00482826207158592
0.916034392041636	0.0839656079583641	168.085784343099	1.22952154145581	1.92569879838334	4.30684175517409	0.000100776300000000	-0.900468259330440	-0.00484280464297583
0.914940314718831	0.0850596852811690	170.275953025339	1.22877446572004	1.91986540413992	4.29966538375174	0.000100709300000000	-0.899537748157990	-0.00484436208863778
0.913839864753694	0.0861601352463060	172.478878723348	1.22801494194087	1.91407496838721	4.29251380944854	0.000112659700000000	-0.898598036771182	-0.00483244699712479
